REGIAO,ANO,Taxa_de_urbanizacao,Baixa_escolaridade,Media_escolaridade,Alta_escolaridade,NATALIDADE
NORDESTE,2018,"623453,25","497088,9","307123,95","28452,9",836850
NORDESTE,2019,"601540,425","466254,225","308420,325","30600,45",805275
NORDESTE,2020,"577245,312","435438,72","304421,76","30827,52",770688
NORDESTE,2021,"575321,574","422106,774","307961,748","34473,33",766074
NORDESTE,2022,"533858,175","382137,525","293515,65","33321,825",708975
NORDESTE,2023,"528789,92","368401,984","297663,2","34318,816",700384
SUDESTE,2018,"1069009,592","394570,064","607913,18","144522,756",1147006
SUDESTE,2019,"1029096,201","370606,992","590103,395","142286,613",1102997
SUDESTE,2020,"982940,666","344134,473","573557,455","134707,072",1052399
SUDESTE,2021,"944101,29","320085,678","561412,104","128236,218",1009734
SUDESTE,2022,"916981,416","301741,748","554499,446","123439,806",979681
SUDESTE,2023,"904304,322","288566,694","555901,056","120638,25",965106
NORTE,2018,"233355,668","173979,26","128329,656","16919,084",319228
NORTE,2019,"229939,168","166572,576","130183,84","16939,584",313696
NORTE,2020,"221701,725","155945,295","128496,51","17193,195",301635
NORTE,2021,"227999,794","155609,086","136119,28","17633,634",309362
NORTE,2022,"213687,762","141687,42","130121,1","17349,48",289158
NORTE,2023,"209836,38","135076,86","130262,8","17840,34",283180
SUL,2018,"338853,592","134591,38","205053,926","56211,694",395857
SUL,2019,"330885,129","128956,398","202700,925","54439,677",386097
SUL,2020,"321706,242","121108,527","199472,868","54367,605",374949
SUL,2021,"311749,139","113957,194","195977,34","52986,466",362921
SUL,2022,"309411,66","109733,205","197879,55","52168,245",359781
SUL,2023,"307680,933","105776,488","200117,68","51458,832",357353
CENTRO_OESTE,2018,"217456,044","94706,535","124225,455","26813,019",245991
CENTRO_OESTE,2019,"213356,685","90646,456","122710,229","27724,315",241081
CENTRO_OESTE,2020,"169398,39","84123,01","119846,48","26504,51",230474
CENTRO_OESTE,2021,"203131,87","81298,55","121375,3","26336,15",229010
CENTRO_OESTE,2022,"199202,376","77617,142","121136,58","25573,278",224327
CENTRO_OESTE,2023,"200940,67","75946,08","124316,5","25767,42",226030
